RecipeNo,name,procedure,time,cuisine,vegNonVeg,mealtype,author,likes,image
41,Laddu,"Mix sugar and water in a pan. Keep the sugar solution on stove top on a low heat. Cook the sugar syrup, till you get a one thread consistency. Switch off the flame. keep the sugar solution aside. The sugar syrup should be hot when you add the boondis. So you can keep the sugar solution on a hot water bath. Meaning place the pan on a plate or tray filled with hot water. You can fry the boondis and prepare the sugar solution side by side. Strain the fried boodi well with a slotted spoon and then add them directly to the hot sugar syrup. Fry all the boondis with the above method and then add them to the sugar syrup. Finally add a melon seeds (magaz), cardamom powder, black cardamon seeds, ghee and a pinch of edible camphor. Ghee helps in binding the boondi ladoos. i added about 1 tbsp of ghee later. Mix well and shape the boondi mixture into ladoos you can place the boondi ladoos in a small muffin liners. you can also garnish the boondi laddu with raisins or cashews. Serve the boondi ladoo to lord ganesha.",35,indian,veg,Snacks,Sahana,0,
42,Shahi Paneer,"To prepare this creamy shahi paneer recipe, chop the onion, green chillies, tomatoes along with ginger and coriander leaves separately. Now in a bowl, add the curd and whisk it well. If you are in a jiffy you can use tomato puree instead of using chopped tomatoes. To make this recipe more delicious you can dry roast the species separately and then add it to the gravy, this will make your recipe more aromatic. Now, grind cashews and almonds separately using a little water and make cashew and almond paste. Keep them aside until required. Next, put a pan on medium flame and heat 3 tablespoons of ghee in it. Add the chopped onions, ginger, green chillies along with green cardamoms for 4 to 5 minutes. Now, heat the remaining ghee in another pan and add the ground gravy in it along with red chilli powder, garam masala powder, cashew and almond paste along with salt. Bring it to a boil or till the gravy turns thickens and add the paneer cubes and milk in it. Cook for another 3 to 5 minutes. ",50,indian,veg,Lunch,Neerav,1,
43,Vada Pav,"Grind all the green chutney ingredients with little water till smooth. avoid making a watery chutney. Soak tamarind in hot water for 30 to 40 minutes. With your hands, squeeze the pulp from the tamarind in the same bowl or pan. strain the pulp and keep aside. Heat oil in a small pan. lower the flame & add cumin seeds and let them crackle. Add ginger powder, red chili powder, asafoetida. stir and add the strained tamarind pulp. cook for 2-3 minutes. boil 2 large potatoes, about 350 grams till they are completely cooked. peel and then mash them with a fork in a bowl.Heat 2 to 3 tsp oil in a small pan. add 1/2 tsp mustard seeds and crackle them. then add 7 to 8 curry leaves and asafoetida. stir and saute for about 5 seconds. Then add 6 to 7 garlic and 1 to 2 green chilies, which have been crushed in a mortar-pestle. add 1/8 tsp turmeric powder. stir till the raw aroma of garlic goes away. Pour this tempering in the mashed potatoes.",80,indian ,veg,Snacks,Sai,1,
44,Puri,"Divide the dough into 12 equal sized portions, Make smooth ball out of it. Flatten it out between your palm and make disc. Keep those discs covered with kitchen towel. Now roll intp 2-3 inch diameter circle. It should not be too thin or too thick. Roll few pooris and keep them in a plate, also keep them covered with kitchen napkin. Heat the oil in a pan on medium heat. Once hot slice one poori into hot oil. By very gentle pressure using back of slotted spatula fry them. It will help poori to puff up. Then flip it. Fry the other side until it is light golden brown in color. Remove it from the oil using slotted spoon and place on paper towel lined plate. Fry all the pooris same way and serve",30,indian,veg,Breakfast,Pahal,1,
45,Paneer Tikka,"Mix all the ingredients under marinade into a bowl and add paneer to it. Toss the paneer in the marinade till the cubes are coated well. Cover and set aside for at least half an hour or up to two hours. Pre-heat oven to 220 C/ 430 F 10 minutes before ready to cook. Place a cooling rack over a roasting pan and set aside. Skewer paneer cubes alternating with onions, capsicum and tomato (if using). This should make about 3-4 skewers. Place the skewers on the cooling rack and bake for 15 minutes, turning once half way. After 15 minutes, switch on the broiler (or only the upper element of the oven) and broil for 2-3 minutes till the paneer has a slight char on the surface. Carefully remove the roasting pan with the skewers out of the oven (the paneer tends to become really soft so be careful) and place the skewers on your serving platter. Top with chopped coriander and squeeze lime juice on them. Serve immediately with sliced onions.",30,indian,veg,Dinner,Saloni,0,
46,Upma,"In a pan, heat 2 tbsp ghee or oil. Add 1 tsp mustard seeds. When you hear the crackling sound of mustard seeds, it means they are getting fried. Now add the 1/2 tsp cumin seeds along with 1 tsp chana dal and 1 tsp urad dal. Ffry till they begin to brown a bit. Immediately then add cashews and begin to fry. By the time, the cashews get golden the dals would also get golden. Now add the finely chopped onions. saute the onions till they become translucent. Then add the chopped green chilly, ginger, curry leaves. saute for a minute. Then add 2.5 cups water to this mixture. add salt as required. Then add sugar. sugar is optional and you can skip it. We prefer a slight sweet taste in the upma and hence we add it. stir well. On a medium to high flame, heat the water and let it come to a to a rolling boiling.",30,indian,veg,Breakfast,Parv,1,
47,Gajar ka Halwa,"In a kadai or deep thick bottomed pan combine milk and grated carrots. On a low to medium flame, bring the whole mixture to a boil and then simmer. While the mixture is simmering on a low flame, keep on stirring in between. The grated carrots will cook in the milk and the milk will start to reduce and evaporate. When the milk has 75% reduced, add the ghee, sugar and powdered cardamom to the mixture. Stir well and continue to simmer and cook on a low flame. Do keep on stirring the halwa in between. Towards the end, add the cashews, almonds, saffron and raisins. Simmer the halwa till all the milk is evaporated. Switch off the burner. Serve gajar halwa hot, warm or you can also serve it cold. garnish with some chopped dry fruits while serving.",45,indian,veg,Snacks,Shanaya,0,
48,Chicken 65,"For the marination, take a bowl and mix chilli powder, coriander powder, turmeric powder, curd and salt together. This marination step is very important and will give this chicken recipe real flavour. Now, wash the chicken in cold running water and chop it. Once it is done, add the chicken pieces in the above mixture and marinate them. Once the chicken pieces are well coated, keep them aside for 4-6 hours so that flavours are well absorbed. Now, take a deep-bottomed pan and heat oil in it over moderate flame. Chicken 65 is ready. Serve as a snack or with roti and chappatis. You can pair this easy snack recipe with drinks of your choice. Prepare this delectable snack on weekends or when guests are coming over!",40,indian,nonVeg,Dinner,Rachit,1,
49,Bhajji,"Firstly, peel the skin of raw plantain. Slice them slightly thick. you can also slice them in round shapes. Soak them in water to prevent from browning. Meanwhile, prepare the besan batter by taking ¾ cup besan, 2 tbsp rice flour in a small mixing bowl. Also add ¼ tsp turmeric, ½ tsp chilli powder, pinch hing and ¾ tsp salt. Mix well making sure the spices are combined well. Further, add ½ cup water and whisk well. Prepare a smooth lump free batter. Now add ¼ tsp baking soda and mix gently. Pat dry the soaked plantain slices to remove excess moisture. Dip the sliced plantain slices into batter. coat with batter on both side. Slowly drop into hot oil and deep fry. stir occasionally. Fry until they become crisp and golden brown. Remove the pakodas and drain onto a paper towel. Finally, enjoy banana bajji with pudina chutney and masala chai.",25,indian,veg,Snacks,Shrishti,1,
50,Bonda,"To prepare this easy Aloo Bonda recipe, boil, peel and mash the potatoes. Then heat little oil in a pan over medium flame. Once the oil is sufficiently hot, add onions in it. Saute the onions till they turn slightly pinkish in hue. Then add ginger and green chillies Saute the ginger till it is no more raw. Add salt and red chilli powder. Bring the flame to medium-high and keep stirring the mixture. Then bring the flame to low and squeeze lemon juice over it. Mix well all the ingredients. Once done, remove from flame and keep aside to cool. Then, mix the rice flour and gram flour in a glass bowl. Add enough water, salt and mix the ingredients properly so that a thick yet pourable batter is prepared. Once the potato filling is cool enough to handle, take portions of the potato mixture and make small balls of it. Meanwhile, heat oil in a large frying pan over medium flame. Once the oil is sufficiently hot, dip the potato balls in the batter and carefully place into the hot oil. Deep fry the bondas until golden brown. Once done, remove and drain the excess oil.",25,indian,veg,Snacks,Raj,0,
